route_id,n_nodes,qubit_count,exploration_percent,batch_count,xy_mixer,amazon_cost,hybrid_cost,cost_diff_abs,cost_diff_pct,improvement_pct,runtime_sec
RouteID_7345ebc0-76f3-4166-bd21-d3166c784a73,166,3,0.0,2,False,11095.5,11830.2,734.7,6.62,-6.62,6.355
RouteID_7345ebc0-76f3-4166-bd21-d3166c784a73,166,3,0.0,3,False,11095.5,11813.5,718.0,6.47,-6.47,4.285
RouteID_7345ebc0-76f3-4166-bd21-d3166c784a73,166,3,0.2,1,False,11095.5,11345.7,250.2,2.25,-2.25,12.527
RouteID_7345ebc0-76f3-4166-bd21-d3166c784a73,166,3,0.2,2,False,11095.5,11830.2,734.7,6.62,-6.62,6.37
RouteID_7345ebc0-76f3-4166-bd21-d3166c784a73,166,3,0.2,3,False,11095.5,11813.5,718.0,6.47,-6.47,4.283
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,2,0.0,1,False,9501.6,11312.2,1810.6,19.06,-19.06,4.329
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,2,0.0,2,False,9501.6,10398.3,896.7,9.44,-9.44,2.279
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,2,0.2,1,False,9501.6,11312.2,1810.6,19.06,-19.06,4.34
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,2,0.2,2,False,9501.6,10398.3,896.7,9.44,-9.44,2.245
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.0,1,False,9501.6,9135.8,-365.8,-3.85,3.85,9.669
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.0,2,False,9501.6,8841.9,-659.7,-6.94,6.94,5.012
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.0,3,False,9501.6,12465.9,2964.3,31.2,-31.2,3.265
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.2,1,False,9501.6,9135.8,-365.8,-3.85,3.85,9.67
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.2,2,False,9501.6,8841.9,-659.7,-6.94,6.94,4.948
RouteID_91c6896a-de79-4d03-8489-253146bec27b,128,3,0.2,3,False,9501.6,12465.9,2964.3,31.2,-31.2,3.204
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,2,0.0,1,False,13104.5,14075.6,971.1,7.41,-7.41,3.81
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,2,0.0,2,False,13104.5,14243.1,1138.6,8.69,-8.69,2.033
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,2,0.2,1,False,13104.5,14075.6,971.1,7.41,-7.41,3.771
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,2,0.2,2,False,13104.5,14243.1,1138.6,8.69,-8.69,2.025
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.0,1,False,13104.5,13421.9,317.4,2.42,-2.42,8.547
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.0,2,False,13104.5,13976.2,871.7,6.65,-6.65,4.278
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.0,3,False,13104.5,13833.6,729.1,5.56,-5.56,2.973
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.2,1,False,13104.5,13421.9,317.4,2.42,-2.42,8.549
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.2,2,False,13104.5,13976.2,871.7,6.65,-6.65,4.242
RouteID_4b4d8e72-7e4d-4a97-94c3-1c2b653c8503,115,3,0.2,3,False,13104.5,13833.6,729.1,5.56,-5.56,2.938
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,2,0.0,1,False,14697.1,17125.5,2428.4,16.52,-16.52,7.477
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,2,0.0,2,False,14697.1,17713.3,3016.2,20.52,-20.52,3.971
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,2,0.2,1,False,14697.1,17125.5,2428.4,16.52,-16.52,7.438
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,2,0.2,2,False,14697.1,17713.3,3016.2,20.52,-20.52,3.908
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.0,1,False,14697.1,15074.4,377.3,2.57,-2.57,16.526
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.0,2,False,14697.1,15313.2,616.1,4.19,-4.19,8.474
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.0,3,False,14697.1,16196.2,1499.1,10.2,-10.2,5.893
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.2,1,False,14697.1,15074.4,377.3,2.57,-2.57,16.629
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.2,2,False,14697.1,15313.2,616.1,4.19,-4.19,8.464
RouteID_edfdbc8c-6813-45bb-84f6-700af13d97f4,215,3,0.2,3,False,14697.1,16196.2,1499.1,10.2,-10.2,5.973
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,2,0.0,1,False,10285.3,12384.0,2098.7,20.4,-20.4,6.216
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,2,0.0,2,False,10285.3,12407.4,2122.1,20.63,-20.63,3.199
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,2,0.2,1,False,10285.3,12384.0,2098.7,20.4,-20.4,6.157
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,2,0.2,2,False,10285.3,12407.4,2122.1,20.63,-20.63,3.216
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.0,1,False,10285.3,9707.9,-577.4,-5.61,5.61,13.803
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.0,2,False,10285.3,10992.8,707.5,6.88,-6.88,7.024
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.0,3,False,10285.3,11050.1,764.8,7.44,-7.44,4.808
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.2,1,False,10285.3,9707.9,-577.4,-5.61,5.61,13.894
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.2,2,False,10285.3,10992.8,707.5,6.88,-6.88,7.032
RouteID_8f13d353-13f9-4c6e-bfdf-18ce95711dcc,181,3,0.2,3,False,10285.3,11050.1,764.8,7.44,-7.44,4.767
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,2,0.0,1,False,7585.4,9886.3,2300.9,30.33,-30.33,4.249
RouteID_44f05e18-630d-48e2-b07f-ae93261c1ba3,129,2,0.0,2,False,7585.4,10600.4,3015.0,39.75,-39.75,2.16
