qubit_count,exploration_percent,batch_count,xy_mixer,mean_amazon_cost,mean_hybrid_cost,mean_improvement_pct,win_rate_pct,mean_runtime_sec
3,0.0,1,False,10814.223999999998,10607.528999999999,1.6344999999999998,62.0,20.48938
3,0.2,1,False,10814.223999999998,10607.528999999999,1.6344999999999998,62.0,11.22951
3,0.0,2,False,10814.223999999998,10994.956,-1.8435,44.0,5.7297
3,0.2,2,False,10814.223999999998,10994.956,-1.8435,44.0,5.78589
3,0.0,3,False,10814.223999999998,11779.083999999999,-9.1583,22.0,3.8555399999999995
3,0.2,3,False,10814.223999999998,11779.083999999999,-9.1583,22.0,3.87561
2,0.0,1,False,10814.223999999998,11783.453000000001,-9.6253,15.0,5.04966
2,0.2,1,False,10814.223999999998,11783.453000000001,-9.6253,15.0,13.51029
2,0.0,2,False,10814.223999999998,12029.639,-11.5384,15.0,2.6133300000000004
2,0.2,2,False,10814.223999999998,12029.639,-11.5384,15.0,2.6132799999999996
